frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
1856,58,86.1729,6.5727,1.5000,0.0000,-0.9697,-0.6862,0.7847,0.0125,0,0,0,0
1888,59,93.6101,6.6367,1.5000,0.0000,0.0666,-0.9657,0.9542,0.0222,0,0,0,0
1920,60,94.4842,6.6068,1.5000,0.0000,0.8574,0.3669,0.0788,0.0046,0,0,0,0
1952,61,95.8574,6.6084,1.5000,0.0000,0.1175,0.4403,0.1209,0.0029,0,0,0,0
1984,62,88.3563,6.5533,1.5000,0.0000,-0.0767,0.9021,-0.9613,-0.0296,0,0,0,0
2016,63,83.8278,6.4965,1.5000,0.0000,0.2629,0.7786,-0.5894,-0.0161,0,0,0,0
2048,64,81.4770,6.4768,1.5000,0.0000,-0.2771,0.7923,-0.3471,-0.0110,0,0,0,0
2080,65,73.8094,6.4285,1.5000,0.0000,-0.9268,-0.7066,-0.8114,-0.0312,0,0,0,0
2112,66,71.5543,6.3780,1.5000,0.0000,0.5162,0.2057,-0.2528,-0.0068,0,0,0,0
2144,67,70.2710,6.3639,1.5000,0.0000,-0.3408,0.8463,-0.2265,-0.0070,0,0,0,0
2176,68,64.2087,6.2543,1.5000,0.0000,0.9182,-0.8668,-0.5442,-0.0164,0,0,0,0
2208,69,60.2193,6.1992,1.5000,0.0000,-0.3158,0.4224,-0.4658,-0.0139,0,0,0,0
2240,70,55.9711,6.1385,1.5000,0.0000,-0.2590,0.1098,-0.4542,-0.0144,0,0,0,0
2272,71,60.6649,6.2574,1.5000,0.0000,-0.9864,-0.6700,0.5041,0.0031,0,0,0,0
2304,72,60.3569,6.2247,1.5000,0.0000,0.5017,0.7777,-0.0840,-0.0003,0,0,0,0
2336,73,51.0908,6.0642,1.5000,0.0000,0.0643,0.4299,-0.9741,-0.0243,0,0,0,0
2368,74,59.5577,6.2291,1.5000,0.0000,-0.6379,-0.2225,0.8493,0.0142,0,0,0,0
2400,75,63.8069,6.2700,1.5000,0.0000,0.4905,0.5630,0.4107,0.0109,0,0,0,0
2432,76,55.3472,6.1517,1.5000,0.0000,-0.5440,0.2747,-0.9160,-0.0260,0,0,0,0
2464,77,54.8490,6.1839,1.5000,0.0000,-0.8232,-0.8734,-0.0046,-0.0092,0,0,0,0
2496,78,50.8196,6.1213,1.5000,0.0000,-0.2630,0.1855,-0.4275,-0.0132,0,0,0,0
2528,79,61.1323,6.3028,1.5000,0.0000,-0.5943,0.6256,0.9683,0.0204,0,0,0,0
2560,80,57.9203,6.2503,1.5000,0.0000,0.3688,-0.8806,-0.2416,-0.0108,0,0,0,0
2592,81,51.4008,6.1518,1.5000,0.0000,-0.5908,0.6404,-0.7331,-0.0198,0,0,0,0
2624,82,46.6716,6.0326,1.5000,0.0000,0.6652,0.9442,-0.5167,-0.0092,0,0,0,0
2656,83,38.5062,5.8574,1.5000,0.0000,0.6621,0.3414,-0.7678,-0.0176,0,0,0,0
2688,84,35.2172,5.8290,1.5000,0.0000,-0.8816,-0.3717,-0.3072,-0.0141,0,0,0,0
2720,85,39.6008,5.8986,1.5000,0.0000,0.0560,0.6143,0.3504,0.0079,0,0,0,0
2752,86,37.3418,5.8492,1.5000,0.0000,0.7010,-0.8418,-0.1046,-0.0069,0,0,0,0
2784,87,32.3299,5.7292,1.5000,0.0000,0.7491,0.1887,-0.4287,-0.0104,0,0,0,0
2816,88,36.3908,5.8240,1.5000,0.0000,-0.0379,-0.9715,0.4393,0.0033,0,0,0,0
2848,89,44.2361,6.0087,1.5000,0.0000,-0.7790,-0.9190,0.7653,0.0089,0,0,0,0
2880,90,42.5814,5.9937,1.5000,0.0000,-0.0092,-0.9233,-0.0789,-0.0085,0,0,0,0
2912,91,38.9499,5.9195,1.5000,0.0000,0.1380,0.1590,-0.3443,-0.0099,0,0,0,0
2944,92,46.0989,6.0311,1.5000,0.0000,0.1451,0.8780,0.6044,0.0150,0,0,0,0
2976,93,48.4060,6.0860,1.5000,0.0000,-0.3612,-0.1306,0.2187,0.0004,0,0,0,0
3008,94,54.9160,6.2263,1.5000,0.0000,-0.8535,0.0259,0.6078,0.0085,0,0,0,0
3040,95,60.1969,6.3279,1.5000,0.0000,-0.2959,-0.3261,0.5570,0.0079,0,0,0,0
3072,96,66.3498,6.4597,1.5000,0.0000,-0.8456,-0.5342,0.6652,0.0080,0,0,0,0
