phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,3645440,890,0,30,204.2298,3.4955,1.5000,0.0000,0.7499,-0.0631,-0.0457,0.9970,0,0,0,0,0.0300,-0.0025,-0.0029,3.5185,-2.4279
offline_val,3645440,890,0,31,160.2159,2.0269,1.5000,0.0000,0.6680,-0.1245,-0.1992,0.9970,0,0,0,0,0.0267,-0.0050,-0.0125,2.0443,-0.7625
offline_val,3645440,890,1,0,65.5904,2.8280,1.5000,0.0000,1.0000,-0.0006,0.1703,0.0048,0,0,0,0,0.0800,-0.0006,0.0181,2.8897,1.0338
offline_val,3645440,890,1,1,109.6372,6.7738,1.5000,0.0000,1.0000,-0.0411,0.1151,0.0059,0,0,0,0,0.0800,-0.0030,0.0142,6.8515,0.2132
offline_val,3645440,890,1,2,72.9463,6.5915,1.5000,0.0000,1.0000,0.0421,0.2729,0.0079,0,0,0,0,0.0800,0.0035,0.0330,6.6044,2.1483
offline_val,3645440,890,1,3,65.7251,6.3364,1.5000,0.0000,1.0000,0.0633,0.3106,0.0085,0,0,0,0,0.0799,0.0056,0.0376,6.3293,2.4390
offline_val,3645440,890,1,4,192.1436,3.1294,1.5000,0.0000,0.5554,-0.0658,-0.0656,0.0001,0,0,0,0,0.0430,-0.0064,-0.0120,3.1496,-1.9227
offline_val,3645440,890,1,5,162.4255,3.2935,1.5000,0.0000,1.0000,-0.0948,-0.0686,0.0022,0,0,0,0,0.0800,-0.0095,-0.0134,3.3564,-1.2980
offline_val,3645440,890,1,6,-1.0000,0.0000,1.5000,0.0000,0.4551,0.0134,0.1199,-0.0092,0,0,0,0,0.0326,0.0009,0.0136,1.8013,-1.7001
offline_val,3645440,890,1,7,110.2353,4.5083,1.5000,0.0000,1.0000,-0.0841,0.0311,0.0026,0,0,0,0,0.0800,-0.0069,0.0027,4.5881,0.0650
offline_val,3645440,890,1,8,153.0453,5.1329,1.5000,0.0000,1.0000,-0.1002,-0.0498,0.0025,0,0,0,0,0.0800,-0.0079,-0.0055,5.2042,-1.6143
offline_val,3645440,890,1,9,126.0542,2.5017,1.5000,0.0000,0.9564,-0.0958,-0.1033,0.0054,0,0,0,0,0.0782,-0.0082,-0.0135,2.5762,-0.3054
offline_val,3645440,890,1,10,28.4236,4.3736,1.5000,0.0000,1.0000,0.0381,0.2426,0.0062,0,0,0,0,0.0800,0.0031,0.0291,4.3722,2.8676
offline_val,3645440,890,1,11,193.3118,1.7877,1.5000,0.0000,0.0642,-0.0309,-0.0168,-0.0021,0,0,0,0,0.0026,-0.0012,-0.0011,1.7891,-1.0921
offline_val,3645440,890,1,12,135.1009,5.4593,1.5000,0.0000,1.0000,-0.1000,-0.0157,0.0022,0,0,0,0,0.0800,-0.0082,-0.0030,5.5364,-0.9696
offline_val,3645440,890,1,13,105.0085,6.3363,1.5000,0.0000,1.0000,-0.0480,0.0830,0.0045,0,0,0,0,0.0800,-0.0032,0.0116,6.4120,0.4022
offline_val,3645440,890,1,14,194.9093,2.3747,1.5000,0.0000,0.6879,-0.0840,-0.1009,0.0010,0,0,0,0,0.0496,-0.0069,-0.0131,2.4047,-1.5128
offline_val,3645440,890,1,15,17.8904,4.2274,1.5000,0.0000,0.8837,0.0340,0.1967,0.0045,0,0,0,0,0.0716,0.0028,0.0236,4.2275,3.0823
offline_val,3645440,890,1,16,56.5851,4.8780,1.5000,0.0000,1.0000,0.0506,0.2868,0.0081,0,0,0,0,0.0800,0.0052,0.0380,4.8776,2.2140
offline_val,3645440,890,1,17,114.3395,2.7228,1.5000,0.0000,1.0000,-0.0899,-0.0679,0.0051,0,0,0,0,0.0800,-0.0069,-0.0072,2.8024,-0.0741
offline_val,3645440,890,1,18,16.9717,5.4382,1.5000,0.0000,0.8942,0.0500,0.2358,0.0050,0,0,0,0,0.0648,0.0041,0.0275,5.3946,4.0237
offline_val,3645440,890,1,19,151.8481,4.1815,1.5000,0.0000,1.0000,-0.1131,-0.0757,0.0033,0,0,0,0,0.0800,-0.0089,-0.0091,4.2500,-1.2951
offline_val,3645440,890,1,20,79.6744,4.5639,1.5000,0.0000,1.0000,-0.0170,0.1512,0.0053,0,0,0,0,0.0800,0.0000,0.0221,4.6184,1.2058
offline_val,3645440,890,1,21,45.4123,4.4713,1.5000,0.0000,1.0000,0.0525,0.2714,0.0075,0,0,0,0,0.0800,0.0050,0.0345,4.4717,2.3885
offline_val,3645440,890,1,22,193.4366,4.4171,1.5000,0.0000,0.7995,-0.0680,-0.0555,0.0004,0,0,0,0,0.0606,-0.0051,-0.0059,4.4617,-2.7261
offline_val,3645440,890,1,23,-1.0000,0.0000,1.5000,0.0000,0.3149,0.0184,0.1219,-0.0038,0,0,0,0,0.0284,0.0010,0.0136,4.9866,-4.1936
offline_val,3645440,890,1,24,164.1753,6.1560,1.5000,0.0000,1.0000,-0.0566,0.0103,0.0005,0,0,0,0,0.0800,-0.0039,0.0025,6.2419,-2.3949
offline_val,3645440,890,1,25,210.2983,2.6379,1.5000,0.0000,0.3998,-0.0824,-0.1168,0.0020,0,0,0,0,0.0280,-0.0063,-0.0137,2.6389,-1.9850
offline_val,3645440,890,1,26,81.4796,3.9562,1.5000,0.0000,1.0000,0.0151,0.1871,0.0067,0,0,0,0,0.0800,0.0007,0.0218,4.0156,0.9912
offline_val,3645440,890,1,27,104.8368,5.1118,1.5000,0.0000,1.0000,-0.0436,0.0875,0.0046,0,0,0,0,0.0800,-0.0032,0.0111,5.1884,0.3281
offline_val,3645440,890,1,28,128.4824,5.8365,1.5000,0.0000,1.0000,-0.0874,-0.0124,0.0023,0,0,0,0,0.0800,-0.0077,-0.0030,5.9144,-0.7457
offline_val,3645440,890,1,29,59.1017,3.2498,1.5000,0.0000,1.0000,0.0331,0.2516,0.0076,0,0,0,0,0.0800,0.0037,0.0323,3.2864,1.3960
offline_val,3645440,890,1,30,204.2676,3.4799,1.5000,0.0000,0.5226,-0.0524,-0.0352,-0.0012,0,0,0,0,0.0509,-0.0047,-0.0051,3.5185,-2.4279
offline_val,3645440,890,1,31,158.7098,2.0132,1.5000,0.0000,0.5488,-0.1149,-0.1828,0.0054,0,0,0,0,0.0486,-0.0098,-0.0240,2.0443,-0.7625
offline_val,3645440,890,2,0,66.4386,2.7978,1.5000,0.0000,1.0000,-0.0048,0.1621,0.0046,0,0,0,0,0.1200,-0.0001,0.0283,2.8897,1.0338
