phase,step,update,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,1310720,160,0,30,89.8422,3.9068,1.5000,0.0000,1.0000,0.0779,0.2980,0.9970,0,0,0,0,0.0400,0.0031,0.0187,3.9340,0.7247
offline_val,1310720,160,0,31,13.0668,5.3041,1.5000,0.0000,1.0000,-0.0054,0.2515,0.9970,0,0,0,0,0.0400,-0.0002,0.0158,5.2813,4.0145
offline_val,1310720,160,0,32,124.5445,3.7090,1.5000,0.0000,1.0000,-0.0792,-0.0755,0.9970,0,0,0,0,0.0400,-0.0032,-0.0047,3.7473,-0.3693
offline_val,1310720,160,0,33,76.7889,6.1423,1.5000,0.0000,1.0000,0.0672,0.3401,0.9970,0,0,0,0,0.0400,0.0027,0.0214,6.1463,1.7539
offline_val,1310720,160,0,34,124.9174,6.6505,1.5000,0.0000,1.0000,-0.0303,0.1419,0.9970,0,0,0,0,0.0400,-0.0012,0.0089,6.6960,-0.5855
offline_val,1310720,160,0,35,125.9589,6.0732,1.5000,0.0000,1.0000,-0.1084,-0.0900,0.9970,0,0,0,0,0.0400,-0.0043,-0.0057,6.1095,-0.6738
offline_val,1310720,160,0,36,125.4622,6.6062,1.5000,0.0000,1.0000,-0.0559,0.0766,0.9970,0,0,0,0,0.0400,-0.0022,0.0048,6.6493,-0.6367
offline_val,1310720,160,0,37,148.2915,2.2040,1.5000,0.0000,0.3077,-0.1667,-0.2612,0.9970,0,0,0,0,0.0123,-0.0067,-0.0164,2.2061,-0.6420
offline_val,1310720,160,0,38,65.8123,2.1410,1.5000,0.0000,1.0000,0.1338,0.4483,0.9970,0,0,0,0,0.0400,0.0054,0.0282,2.1593,0.8062
offline_val,1310720,160,0,39,7.4830,3.9555,1.5000,0.0000,1.0000,0.1380,0.3589,0.9970,0,0,0,0,0.0400,0.0055,0.0226,3.9246,3.1912
offline_val,1310720,160,0,40,72.6692,6.3612,1.5000,0.0000,1.0000,-0.0244,0.1454,0.9970,0,0,0,0,0.0400,-0.0010,0.0091,6.3838,1.9315
offline_val,1310720,160,0,41,154.4573,4.9254,1.5000,0.0000,1.0000,-0.1129,-0.1170,0.9970,0,0,0,0,0.0400,-0.0045,-0.0074,4.9537,-1.6074
offline_val,1310720,160,0,42,138.3951,5.1050,1.5000,0.0000,1.0000,-0.1350,-0.1720,0.9970,0,0,0,0,0.0400,-0.0054,-0.0108,5.1338,-1.0700
offline_val,1310720,160,0,43,120.8643,2.2292,1.5000,0.0000,0.8740,-0.0983,-0.0814,0.9970,0,0,0,0,0.0350,-0.0039,-0.0051,2.2634,-0.1634
offline_val,1310720,160,0,44,-1.0000,0.0000,1.5000,0.0000,0.2478,0.0672,0.2777,-0.0005,0,0,0,0,0.0099,0.0027,0.0174,4.6224,4.5538
