phase,checkpoint,frame,episode,t,env_id,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,drqv2_062400.pt,1996800,0,1,26,64.7428,5.9875,1.5000,0.0000,1.0000,1.0000,0.9996,0.9970,0,0,0,0,0.0400,0.0400,0.0628,5.8826,2.5315
offline_val,drqv2_062400.pt,1996800,0,1,27,198.2087,4.4679,1.5000,0.0000,0.9999,-0.9995,-1.0000,0.9970,0,0,0,0,0.0400,-0.0400,-0.0628,4.3179,-3.2005
offline_val,drqv2_062400.pt,1996800,0,1,28,60.7016,4.6960,1.5000,0.0000,1.0000,1.0000,-0.8565,0.9970,0,0,0,0,0.0400,0.0400,-0.0538,4.8263,1.5896
offline_val,drqv2_062400.pt,1996800,0,1,29,106.9229,4.5053,1.5000,0.0000,1.0000,1.0000,0.8113,0.9970,0,0,0,0,0.0400,0.0400,0.0510,4.5307,0.4407
offline_val,drqv2_062400.pt,1996800,0,1,30,67.8568,1.8659,1.5000,0.0000,0.9981,0.9999,0.9278,0.9970,0,0,0,0,0.0399,0.0400,0.0583,1.8667,0.7648
offline_val,drqv2_062400.pt,1996800,0,1,31,2.4181,1.5826,1.5000,0.0000,-0.5276,0.2445,0.9916,0.9970,0,0,0,0,-0.0211,0.0098,0.0623,1.4775,1.4051
offline_val,drqv2_062400.pt,1996800,0,1,32,73.5503,4.8878,1.5000,0.0000,1.0000,1.0000,-0.6249,0.9970,0,0,0,0,0.0400,0.0400,-0.0393,4.9793,1.2551
offline_val,drqv2_062400.pt,1996800,0,1,33,77.5349,3.3484,1.5000,0.0000,1.0000,1.0000,1.0000,0.9970,0,0,0,0,0.0400,0.0400,0.0628,3.3275,1.1131
offline_val,drqv2_062400.pt,1996800,0,1,34,205.0080,2.4419,1.5000,0.0000,0.9385,-0.9995,-1.0000,0.9970,0,0,0,0,0.0375,-0.0400,-0.0628,2.3678,-1.8915
offline_val,drqv2_062400.pt,1996800,0,1,35,179.9273,2.2752,1.5000,0.0000,0.9998,-0.8565,-0.7077,0.9970,0,0,0,0,0.0400,-0.0343,-0.0445,2.2614,-1.2921
offline_val,drqv2_062400.pt,1996800,0,1,36,223.2617,2.0415,1.5000,0.0000,0.1199,-0.0227,-0.9323,0.9970,0,0,0,0,0.0048,-0.0009,-0.0586,1.9431,-1.8192
