frame,tick,px_x,dist,end_d,end_x,a_x,a_y,a_w,reward,done,success,fail,timeout
1632,51,56.0837,3.0759,1.5000,0.0000,0.1416,0.9860,0.4485,0.0202,0,0,0,0
1664,52,53.0432,3.0577,1.5000,0.0000,-0.1481,-0.1523,-0.2900,-0.0143,0,0,0,0
1696,53,50.4828,3.0584,1.5000,0.0000,-0.7043,0.0555,-0.3170,-0.0145,0,0,0,0
1728,54,60.9068,3.1697,1.5000,0.0000,-0.8797,0.3388,0.9282,0.0296,0,0,0,0
1760,55,57.4015,3.1723,1.5000,0.0000,-0.6004,-0.7624,-0.2689,-0.0190,0,0,0,0
1792,56,64.4741,3.2724,1.5000,0.0000,-0.9697,-0.6862,0.7847,0.0161,0,0,0,0
1824,57,71.7601,3.3360,1.5000,0.0000,0.0666,-0.9657,0.9542,0.0216,0,0,0,0
1856,58,72.6550,3.3066,1.5000,0.0000,0.8574,0.3669,0.0788,0.0047,0,0,0,0
1888,59,74.4075,3.3091,1.5000,0.0000,0.1175,0.4403,0.1209,0.0045,0,0,0,0
1920,60,67.0898,3.2520,1.5000,0.0000,-0.0767,0.9021,-0.9613,-0.0285,0,0,0,0
1952,61,62.6817,3.1999,1.5000,0.0000,0.2629,0.7786,-0.5894,-0.0162,0,0,0,0
1984,62,60.8577,3.1852,1.5000,0.0000,-0.2771,0.7923,-0.3471,-0.0093,0,0,0,0
2016,63,52.2839,3.1544,1.5000,0.0000,-0.9268,-0.7066,-0.8114,-0.0374,0,0,0,0
2048,64,49.6778,3.1111,1.5000,0.0000,0.5162,0.2057,-0.2528,-0.0092,0,0,0,0
2080,65,49.0891,3.1042,1.5000,0.0000,-0.3408,0.8463,-0.2265,-0.0048,0,0,0,0
2112,66,41.0771,3.0145,1.5000,0.0000,0.9182,-0.8668,-0.5442,-0.0276,0,0,0,0
2144,67,37.0613,2.9794,1.5000,0.0000,-0.3158,0.4224,-0.4658,-0.0165,0,0,0,0
2176,68,32.4390,2.9410,1.5000,0.0000,-0.2590,0.1098,-0.4542,-0.0188,0,0,0,0
2208,69,37.9232,3.0353,1.5000,0.0000,-0.9864,-0.6700,0.5041,0.0097,0,0,0,0
2240,70,37.8879,3.0065,1.5000,0.0000,0.5017,0.7777,-0.0840,0.0004,0,0,0,0
2272,71,27.5636,2.8972,1.5000,0.0000,0.0643,0.4299,-0.9741,-0.0354,0,0,0,0
2304,72,37.5306,3.0168,1.5000,0.0000,-0.6379,-0.2225,0.8493,0.0265,0,0,0,0
2336,73,42.4851,3.0390,1.5000,0.0000,0.4905,0.5630,0.4107,0.0163,0,0,0,0
2368,74,33.4435,2.9653,1.5000,0.0000,-0.5440,0.2747,-0.9160,-0.0341,0,0,0,0
2400,75,32.6985,2.9977,1.5000,0.0000,-0.8232,-0.8734,-0.0046,-0.0104,0,0,0,0
2432,76,28.3951,2.9595,1.5000,0.0000,-0.2630,0.1855,-0.4275,-0.0174,0,0,0,0
2464,77,40.9637,3.0890,1.5000,0.0000,-0.5943,0.6256,0.9683,0.0369,0,0,0,0
2496,78,36.4401,3.0484,1.5000,0.0000,0.3688,-0.8806,-0.2416,-0.0181,0,0,0,0
2528,79,29.8877,2.9905,1.5000,0.0000,-0.5908,0.6404,-0.7331,-0.0250,0,0,0,0
2560,80,24.7950,2.9038,1.5000,0.0000,0.6652,0.9442,-0.5167,-0.0149,0,0,0,0
2592,81,15.1193,2.7831,1.5000,0.0000,0.6621,0.3414,-0.7678,-0.0311,0,0,0,0
2624,82,11.6517,2.7786,1.5000,0.0000,-0.8816,-0.3717,-0.3072,-0.0179,0,0,0,0
2656,83,17.2431,2.8211,1.5000,0.0000,0.0560,0.6143,0.3504,0.0166,0,0,0,0
2688,84,13.3325,2.7797,1.5000,0.0000,0.7010,-0.8418,-0.1046,-0.0153,0,0,0,0
2720,85,6.9192,2.6936,1.5000,0.0000,0.7491,0.1887,-0.4287,-0.0209,0,0,0,0
2752,86,10.9736,2.7536,1.5000,0.0000,-0.0379,-0.9715,0.4393,0.0076,0,0,0,0
2784,87,20.1322,2.8835,1.5000,0.0000,-0.7790,-0.9190,0.7653,0.0217,0,0,0,0
2816,88,17.4442,2.8738,1.5000,0.0000,-0.0092,-0.9233,-0.0789,-0.0138,0,0,0,0
2848,89,13.1569,2.8237,1.5000,0.0000,0.1380,0.1590,-0.3443,-0.0159,0,0,0,0
2880,90,22.1778,2.8940,1.5000,0.0000,0.1451,0.8780,0.6044,0.0285,0,0,0,0
2912,91,25.0205,2.9350,1.5000,0.0000,-0.3612,-0.1306,0.2187,0.0046,0,0,0,0
2944,92,33.1075,3.0399,1.5000,0.0000,-0.8535,0.0259,0.6078,0.0200,0,0,0,0
2976,93,39.0317,3.1132,1.5000,0.0000,-0.2959,-0.3261,0.5570,0.0143,0,0,0,0
