phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,1556480,190,1,2,116.0545,6.4488,0.7548,0.2826,-0.0454,-0.0045,0,0,0,0,0.0591,0.0197,-0.0131,6.5048,-0.2608
offline_val,1556480,190,1,3,-1.0000,0.0000,-0.0574,0.0789,0.8162,-0.0005,0,0,0,0,-0.0047,0.0062,0.1026,1.4787,-1.4081
offline_val,1556480,190,1,4,17.7927,4.4682,0.4975,0.4594,0.4583,0.0046,0,0,0,0,0.0426,0.0356,0.0493,4.3502,3.4055
offline_val,1556480,190,1,5,160.0955,4.4740,0.7231,0.0288,-0.4718,0.0050,0,0,0,0,0.0581,0.0018,-0.0584,4.4304,-1.8686
offline_val,1556480,190,1,6,59.9534,5.0013,0.6679,0.3353,0.0935,-0.0031,0,0,0,0,0.0520,0.0281,0.0158,5.0219,2.0569
offline_val,1556480,190,1,7,141.0788,3.4413,0.8153,0.1681,-0.2146,-0.0003,0,0,0,0,0.0621,0.0080,-0.0404,3.4704,-0.8801
offline_val,1556480,190,1,8,82.4790,6.5069,0.7717,0.3313,0.0516,-0.0030,0,0,0,0,0.0615,0.0265,0.0064,6.5591,1.5073
offline_val,1556480,190,1,9,165.9678,3.7546,0.7231,0.0296,-0.4452,0.0049,0,0,0,0,0.0584,0.0024,-0.0541,3.7254,-1.7165
offline_val,1556480,190,1,10,34.6194,1.9007,0.3696,0.4592,0.5089,0.0153,0,0,0,0,0.0297,0.0372,0.0637,1.8565,1.2578
offline_val,1556480,190,1,11,181.1245,1.9254,-0.1736,-0.1362,-0.3851,0.0062,0,0,0,0,-0.0142,-0.0107,-0.0483,1.8608,-1.0996
offline_val,1556480,190,1,12,186.4043,5.4028,0.7224,0.0276,-0.4740,0.0011,0,0,0,0,0.0578,0.0013,-0.0596,5.2717,-3.3266
offline_val,1556480,190,1,13,139.9039,5.4005,0.7792,0.1171,-0.3121,0.0023,0,0,0,0,0.0634,0.0110,-0.0335,5.4230,-1.2984
offline_val,1556480,190,1,14,23.2380,4.5096,0.4922,0.4619,0.4652,0.0046,0,0,0,0,0.0390,0.0375,0.0583,4.3663,3.2939
offline_val,1556480,190,1,15,10.6957,1.8901,-0.0582,0.0780,0.8161,0.9900,0,0,0,0,-0.0048,0.0062,0.1026,1.7284,1.6268
offline_val,1556480,190,1,16,82.8690,6.5130,0.7835,0.3340,0.0539,-0.0029,0,0,0,0,0.0625,0.0268,0.0067,6.5658,1.4920
