phase,step,update,t,env_id,px_x,dist,a_x,a_y,a_w,reward,done,success,fail,timeout,robot_x,robot_y,head_yaw,target_x,target_y
offline_val,5144576,628,1,2,161.8105,2.4064,-0.0485,0.2789,-0.5833,0.1564,0,0,0,0,-0.0057,0.0221,-0.0743,2.3274,-1.0521
offline_val,5144576,628,1,3,138.0966,4.5045,1.0000,0.6035,-0.2737,0.0713,0,0,0,0,0.0804,0.0479,-0.0350,4.5513,-0.9900
offline_val,5144576,628,1,4,175.8183,4.4705,0.9196,0.6404,-0.6624,0.1581,0,0,0,0,0.0763,0.0503,-0.0833,4.3534,-2.4518
offline_val,5144576,628,1,5,14.4947,2.6664,0.2310,-0.4321,0.9619,0.3430,0,0,0,0,0.0190,-0.0341,0.1207,2.4315,2.2207
offline_val,5144576,628,1,6,118.4226,6.2583,1.0000,0.7776,-0.1133,0.0376,0,0,0,0,0.0802,0.0624,-0.0149,6.3333,-0.3318
offline_val,5144576,628,1,7,151.8270,5.8338,1.0000,0.8176,-0.4143,0.0933,0,0,0,0,0.0809,0.0645,-0.0547,5.8109,-1.9923
offline_val,5144576,628,1,8,131.8692,6.4964,1.0000,0.8062,-0.2001,0.0544,0,0,0,0,0.0805,0.0644,-0.0278,6.5476,-1.0826
offline_val,5144576,628,1,9,55.6658,3.0813,1.0000,0.1824,0.6865,0.2273,0,0,0,0,0.0796,0.0156,0.0914,3.0294,1.5918
offline_val,5144576,628,1,10,175.6525,3.2063,0.2865,0.4425,-0.6703,0.1758,0,0,0,0,0.0183,0.0343,-0.0866,3.0804,-1.7663
offline_val,5144576,628,1,11,51.4128,3.2799,1.0000,0.1989,0.7320,0.2403,0,0,0,0,0.0795,0.0170,0.0970,3.1999,1.8164
offline_val,5144576,628,1,12,84.7793,3.3077,1.0000,0.2810,0.4028,0.1566,0,0,0,0,0.0797,0.0240,0.0496,3.3499,0.8617
offline_val,5144576,628,1,13,-1.0000,0.0000,0.2214,-0.4340,0.9602,-0.0119,0,0,0,0,0.0187,-0.0341,0.1206,4.2610,-3.5095
offline_val,5144576,628,1,14,17.7047,4.4381,1.0000,0.2926,0.8648,0.2811,0,0,0,0,0.0480,-0.0033,0.1146,4.0984,3.6191
offline_val,5144576,628,1,15,195.3259,5.5264,1.0000,0.8200,-0.7157,0.1533,0,0,0,0,0.0816,0.0629,-0.0952,5.2549,-3.8969
offline_val,5144576,628,1,16,98.6485,4.9368,1.0000,0.5859,0.1147,0.0858,0,0,0,0,0.0798,0.0472,0.0159,5.0081,0.6196
offline_val,5144576,628,1,17,132.6963,5.5559,1.0000,0.7398,-0.2327,0.0621,0,0,0,0,0.0804,0.0586,-0.0298,5.6082,-0.9681
offline_val,5144576,628,1,18,134.1023,3.2780,0.9669,0.3760,-0.2203,0.0615,0,0,0,0,0.0789,0.0297,-0.0268,3.3412,-0.6006
offline_val,5144576,628,1,19,129.4290,5.5455,1.0000,0.7386,-0.2104,0.0580,0,0,0,0,0.0804,0.0581,-0.0253,5.6058,-0.8061
offline_val,5144576,628,1,20,193.6776,2.2626,-0.5097,0.2565,-0.7568,0.2697,0,0,0,0,-0.0417,0.0215,-0.0960,2.0777,-1.5736
offline_val,5144576,628,1,21,89.6777,6.5994,1.0000,0.7124,0.1393,0.0855,0,0,0,0,0.0798,0.0577,0.0164,6.6603,1.2691
offline_val,5144576,628,1,22,38.1113,2.0625,1.0000,-0.0267,0.8185,0.2702,0,0,0,0,0.0800,-0.0003,0.1064,2.0095,1.3541
offline_val,5144576,628,1,23,121.3239,2.3623,0.4837,0.1747,-0.1129,0.0272,0,0,0,0,0.0396,0.0137,-0.0128,2.3996,-0.1816
offline_val,5144576,628,1,24,15.4025,2.6148,1.0000,0.0241,0.9438,0.3511,0,0,0,0,0.0487,-0.0140,0.1196,2.4190,2.1769
offline_val,5144576,628,1,25,108.6364,2.3148,0.6249,0.1699,-0.0146,0.0243,0,0,0,0,0.0522,0.0137,0.0001,2.3670,0.0723
offline_val,5144576,628,1,26,105.9204,3.6604,1.0000,0.3821,0.1064,0.0836,0,0,0,0,0.0799,0.0314,0.0110,3.7383,0.2382
offline_val,5144576,628,1,27,84.3435,4.1981,1.0000,0.4308,0.2963,0.1275,0,0,0,0,0.0797,0.0361,0.0374,4.2423,1.0624
offline_val,5144576,628,1,28,137.7283,3.9030,1.0000,0.5165,-0.3078,0.0826,0,0,0,0,0.0804,0.0402,-0.0370,3.9528,-0.8561
offline_val,5144576,628,1,29,108.1127,4.8731,1.0000,0.5863,0.0219,0.0613,0,0,0,0,0.0800,0.0475,0.0024,4.9528,0.2012
offline_val,5144576,628,1,30,188.2466,3.2962,0.1773,0.4551,-0.7350,0.2051,0,0,0,0,0.0100,0.0356,-0.0947,3.1134,-2.1506
offline_val,5144576,628,1,31,77.8741,1.9634,0.7470,0.0664,0.3016,0.1033,0,0,0,0,0.0590,0.0058,0.0373,2.0023,0.5806
offline_val,5144576,628,2,0,166.4811,5.9781,1.0000,0.8125,-0.5206,0.1083,0,0,0,0,0.1233,0.0929,-0.1025,5.8204,-2.9458
offline_val,5144576,628,2,1,177.5687,3.8432,0.5909,0.5311,-0.6591,0.1644,0,0,0,0,0.0640,0.0599,-0.1293,3.6316,-2.3079
offline_val,5144576,628,2,2,157.6679,2.4308,0.0835,0.2712,-0.5081,0.1313,0,0,0,0,-0.0015,0.0327,-0.1062,2.3274,-1.0521
offline_val,5144576,628,2,3,136.7716,4.4787,1.0000,0.5909,-0.2603,0.0688,0,0,0,0,0.1212,0.0701,-0.0514,4.5513,-0.9900
offline_val,5144576,628,2,4,170.7835,4.5123,1.0000,0.6492,-0.6271,0.1496,0,0,0,0,0.1183,0.0728,-0.1227,4.3534,-2.4518
offline_val,5144576,628,2,5,24.3959,2.7325,1.0000,0.0583,0.9030,0.3199,0,0,0,0,0.0585,-0.0269,0.1775,2.4315,2.2207
offline_val,5144576,628,2,6,118.3057,6.2202,1.0000,0.7681,-0.0973,0.0328,0,0,0,0,0.1207,0.0925,-0.0210,6.3333,-0.3318
offline_val,5144576,628,2,7,149.3943,5.8343,1.0000,0.8017,-0.3784,0.0868,0,0,0,0,0.1226,0.0944,-0.0784,5.8109,-1.9923
offline_val,5144576,628,2,8,131.0019,6.4682,1.0000,0.8156,-0.1942,0.0530,0,0,0,0,0.1214,0.0959,-0.0400,6.5476,-1.0826
offline_val,5144576,628,2,9,61.4906,3.0907,1.0000,0.1941,0.6391,0.2136,0,0,0,0,0.1187,0.0270,0.1315,3.0294,1.5918
offline_val,5144576,628,2,10,170.3563,3.2492,0.3780,0.4378,-0.6225,0.1589,0,0,0,0,0.0349,0.0504,-0.1257,3.0804,-1.7663
offline_val,5144576,628,2,11,57.8902,3.3012,1.0000,0.2065,0.6922,0.2278,0,0,0,0,0.1186,0.0291,0.1405,3.1999,1.8164
offline_val,5144576,628,2,12,87.6664,3.2801,1.0000,0.2993,0.3140,0.1330,0,0,0,0,0.1191,0.0380,0.0693,3.3499,0.8617
offline_val,5144576,628,2,13,-1.0000,0.0000,0.2214,-0.4340,0.9602,-0.0119,0,0,0,0,0.0296,-0.0503,0.1809,4.2610,-3.5095
offline_val,5144576,628,2,14,27.3918,4.5557,1.0000,0.3178,0.8346,0.2599,0,0,0,0,0.0863,0.0139,0.1671,4.0984,3.6191
offline_val,5144576,628,2,15,188.9084,5.6309,1.0000,0.8315,-0.6835,0.1422,0,0,0,0,0.1246,0.0922,-0.1382,5.2549,-3.8969
offline_val,5144576,628,2,16,99.8403,4.8990,1.0000,0.5937,0.0773,0.0754,0,0,0,0,0.1194,0.0716,0.0208,5.0081,0.6196
offline_val,5144576,628,2,17,131.7411,5.5272,1.0000,0.7252,-0.2105,0.0569,0,0,0,0,0.1213,0.0864,-0.0430,5.6082,-0.9681
offline_val,5144576,628,2,18,133.0694,3.2470,0.9610,0.3751,-0.2221,0.0623,0,0,0,0,0.1177,0.0437,-0.0407,3.3412,-0.6006
offline_val,5144576,628,2,19,128.9076,5.5127,1.0000,0.7107,-0.1567,0.0437,0,0,0,0,0.1211,0.0855,-0.0351,5.6058,-0.8061
offline_val,5144576,628,2,20,185.6546,2.3393,-0.4042,0.2609,-0.7174,0.2342,0,0,0,0,-0.0568,0.0334,-0.1411,2.0777,-1.5736
offline_val,5144576,628,2,21,91.3427,6.5687,1.0000,0.7176,0.1415,0.0873,0,0,0,0,0.1193,0.0870,0.0252,6.6603,1.2691
offline_val,5144576,628,2,22,45.2703,2.0778,1.0000,-0.0275,0.8075,0.2610,0,0,0,0,0.1199,0.0029,0.1572,2.0095,1.3541
offline_val,5144576,628,2,23,120.5941,2.3464,0.4336,0.1740,-0.1418,0.0351,0,0,0,0,0.0570,0.0204,-0.0217,2.3996,-0.1816
offline_val,5144576,628,2,24,25.2359,2.6783,1.0000,0.0406,0.9070,0.3198,0,0,0,0,0.0882,-0.0076,0.1766,2.4190,2.1769
offline_val,5144576,628,2,25,108.7267,2.2913,0.5852,0.1659,-0.0312,0.0171,0,0,0,0,0.0756,0.0203,-0.0018,2.3670,0.0723
offline_val,5144576,628,2,26,107.4471,3.6215,1.0000,0.3717,0.1245,0.0900,0,0,0,0,0.1198,0.0467,0.0188,3.7383,0.2382
offline_val,5144576,628,2,27,86.8611,4.1711,1.0000,0.4563,0.2523,0.1177,0,0,0,0,0.1190,0.0558,0.0533,4.2423,1.0624
offline_val,5144576,628,2,28,135.7962,3.8784,1.0000,0.5216,-0.3361,0.0918,0,0,0,0,0.1211,0.0595,-0.0581,3.9528,-0.8561
offline_val,5144576,628,2,29,108.7489,4.8332,1.0000,0.6004,0.0006,0.0554,0,0,0,0,0.1199,0.0716,0.0024,4.9528,0.2012
offline_val,5144576,628,2,30,181.4966,3.3682,0.2164,0.4437,-0.7026,0.1880,0,0,0,0,0.0203,0.0524,-0.1388,3.1134,-2.1506
offline_val,5144576,628,2,31,79.8219,1.9453,0.6458,0.0577,0.2518,0.0861,0,0,0,0,0.0847,0.0091,0.0531,2.0023,0.5806
offline_val,5144576,628,3,0,163.0425,6.0079,1.0000,0.8107,-0.4663,0.0977,0,0,0,0,0.1664,0.1210,-0.1318,5.8204,-2.9458
offline_val,5144576,628,3,1,172.1962,3.8900,0.6769,0.5465,-0.6419,0.1581,0,0,0,0,0.0937,0.0781,-0.1697,3.6316,-2.3079
offline_val,5144576,628,3,2,154.0976,2.4482,0.1430,0.2575,-0.4561,0.1154,0,0,0,0,0.0053,0.0423,-0.1349,2.3274,-1.0521
offline_val,5144576,628,3,3,135.6851,4.4506,1.0000,0.5800,-0.2314,0.0615,0,0,0,0,0.1624,0.0912,-0.0659,4.5513,-0.9900
offline_val,5144576,628,3,4,166.2034,4.5443,1.0000,0.6565,-0.5934,0.1413,0,0,0,0,0.1612,0.0940,-0.1600,4.3534,-2.4518
offline_val,5144576,628,3,5,33.2972,2.7854,1.0000,0.0731,0.8607,0.2932,0,0,0,0,0.0973,-0.0170,0.2315,2.4315,2.2207
offline_val,5144576,628,3,6,118.1685,6.1821,1.0000,0.7672,-0.1000,0.0336,0,0,0,0,0.1613,0.1223,-0.0273,6.3333,-0.3318
offline_val,5144576,628,3,7,146.9901,5.8322,1.0000,0.7984,-0.3767,0.0884,0,0,0,0,0.1650,0.1231,-0.1021,5.8109,-1.9923
offline_val,5144576,628,3,8,130.1300,6.4394,1.0000,0.8161,-0.1950,0.0537,0,0,0,0,0.1626,0.1269,-0.0522,6.5476,-1.0826
offline_val,5144576,628,3,9,66.1696,3.0873,1.0000,0.2139,0.5236,0.1806,0,0,0,0,0.1573,0.0407,0.1644,3.0294,1.5918
offline_val,5144576,628,3,10,165.9902,3.2753,0.5538,0.4482,-0.5562,0.1385,0,0,0,0,0.0591,0.0654,-0.1606,3.0804,-1.7663
offline_val,5144576,628,3,11,63.6471,3.3111,1.0000,0.2296,0.6277,0.2104,0,0,0,0,0.1569,0.0438,0.1799,3.1999,1.8164
offline_val,5144576,628,3,12,90.4086,3.2505,1.0000,0.2932,0.2965,0.1293,0,0,0,0,0.1582,0.0524,0.0879,3.3499,0.8617
offline_val,5144576,628,3,13,-1.0000,0.0000,0.2214,-0.4340,0.9602,-0.0119,0,0,0,0,0.0415,-0.0658,0.2413,4.2610,-3.5095
offline_val,5144576,628,3,14,35.9016,4.6497,1.0000,0.3609,0.7722,0.2363,0,0,0,0,0.1234,0.0348,0.2156,4.0984,3.6191
offline_val,5144576,628,3,15,183.0734,5.7202,1.0000,0.8210,-0.6511,0.1340,0,0,0,0,0.1687,0.1192,-0.1791,5.2549,-3.8969
offline_val,5144576,628,3,16,100.8099,4.8603,1.0000,0.5952,0.0492,0.0675,0,0,0,0,0.1589,0.0962,0.0239,5.0081,0.6196
offline_val,5144576,628,3,17,130.4594,5.4998,1.0000,0.7351,-0.2499,0.0686,0,0,0,0,0.1625,0.1140,-0.0587,5.6082,-0.9681
offline_val,5144576,628,3,18,132.2050,3.2136,0.9984,0.3770,-0.2041,0.0580,0,0,0,0,0.1582,0.0571,-0.0535,3.3412,-0.6006
offline_val,5144576,628,3,19,128.3515,5.4797,1.0000,0.7036,-0.1603,0.0452,0,0,0,0,0.1620,0.1122,-0.0452,5.6058,-0.8061
offline_val,5144576,628,3,20,178.4797,2.4062,-0.3195,0.2674,-0.6896,0.2101,0,0,0,0,-0.0679,0.0458,-0.1844,2.0777,-1.5736
offline_val,5144576,628,3,21,93.0959,6.5378,1.0000,0.7077,0.1519,0.0910,0,0,0,0,0.1586,0.1163,0.0348,6.6603,1.2691
offline_val,5144576,628,3,22,51.1634,2.0815,1.0000,-0.0145,0.7001,0.2220,0,0,0,0,0.1595,0.0085,0.2012,2.0095,1.3541
offline_val,5144576,628,3,23,119.5387,2.3316,0.4116,0.1884,-0.1838,0.0470,0,0,0,0,0.0736,0.0276,-0.0333,2.3996,-0.1816
offline_val,5144576,628,3,24,34.1834,2.7295,1.0000,0.0671,0.8716,0.2967,0,0,0,0,0.1272,0.0021,0.2314,2.4190,2.1769
offline_val,5144576,628,3,25,108.8659,2.2682,0.5747,0.1595,-0.0242,0.0186,0,0,0,0,0.0986,0.0267,-0.0033,2.3670,0.0723
offline_val,5144576,628,3,26,108.5033,3.5819,1.0000,0.3834,0.0638,0.0718,0,0,0,0,0.1595,0.0628,0.0228,3.7383,0.2382
offline_val,5144576,628,3,27,89.2144,4.1419,1.0000,0.4485,0.2331,0.1133,0,0,0,0,0.1579,0.0759,0.0679,4.2423,1.0624
offline_val,5144576,628,3,28,134.5261,3.8492,1.0000,0.4710,-0.2513,0.0701,0,0,0,0,0.1621,0.0760,-0.0739,3.9528,-0.8561
offline_val,5144576,628,3,29,109.1200,4.7930,1.0000,0.6005,-0.0323,0.0450,0,0,0,0,0.1599,0.0957,0.0004,4.9528,0.2012
offline_val,5144576,628,3,30,175.9947,3.4181,0.4294,0.4565,-0.6261,0.1602,0,0,0,0,0.0399,0.0681,-0.1782,3.1134,-2.1506
offline_val,5144576,628,3,31,81.8887,1.9273,0.6382,0.0491,0.2665,0.0906,0,0,0,0,0.1101,0.0124,0.0698,2.0023,0.5806
offline_val,5144576,628,4,0,159.2802,6.0392,1.0000,0.8281,-0.5074,0.1092,0,0,0,0,0.2104,0.1486,-0.1636,5.8204,-2.9458
offline_val,5144576,628,4,1,167.8024,3.9184,0.7988,0.5306,-0.5624,0.1374,0,0,0,0,0.1287,0.0936,-0.2050,3.6316,-2.3079
offline_val,5144576,628,4,2,150.4082,2.4664,0.0965,0.2517,-0.4700,0.1194,0,0,0,0,0.0104,0.0518,-0.1644,2.3274,-1.0521
offline_val,5144576,628,4,3,134.4734,4.4226,1.0000,0.5736,-0.2453,0.0665,0,0,0,0,0.2038,0.1115,-0.0813,4.5513,-0.9900
offline_val,5144576,628,4,4,162.2171,4.5649,1.0000,0.6355,-0.5382,0.1288,0,0,0,0,0.2047,0.1127,-0.1938,4.3534,-2.4518
offline_val,5144576,628,4,5,41.3613,2.8259,1.0000,0.0930,0.8175,0.2721,0,0,0,0,0.1354,-0.0042,0.2829,2.4315,2.2207
offline_val,5144576,628,4,6,118.0085,6.1440,1.0000,0.7608,-0.1025,0.0345,0,0,0,0,0.2021,0.1517,-0.0337,6.3333,-0.3318
offline_val,5144576,628,4,7,144.7685,5.8259,1.0000,0.8077,-0.3587,0.0852,0,0,0,0,0.2081,0.1511,-0.1246,5.8109,-1.9923
offline_val,5144576,628,4,8,129.6625,6.4074,1.0000,0.7941,-0.1455,0.0407,0,0,0,0,0.2043,0.1566,-0.0614,6.5476,-1.0826
offline_val,5144576,628,4,9,70.8090,3.0803,1.0000,0.2075,0.5254,0.1825,0,0,0,0,0.1954,0.0555,0.1974,3.0294,1.5918
offline_val,5144576,628,4,10,162.1490,3.2924,0.6126,0.4381,-0.5126,0.1266,0,0,0,0,0.0861,0.0788,-0.1929,3.0804,-1.7663
offline_val,5144576,628,4,11,68.9026,3.3123,1.0000,0.2442,0.5811,0.1990,0,0,0,0,0.1945,0.0606,0.2164,3.1999,1.8164
offline_val,5144576,628,4,12,93.1380,3.2194,1.0000,0.2913,0.2931,0.1303,0,0,0,0,0.1970,0.0676,0.1064,3.3499,0.8617
offline_val,5144576,628,4,13,-1.0000,0.0000,0.2214,-0.4340,0.9602,-0.0119,0,0,0,0,0.0542,-0.0805,0.3016,4.2610,-3.5095
offline_val,5144576,628,4,14,43.6329,4.7261,1.0000,0.3847,0.7323,0.2229,0,0,0,0,0.1591,0.0584,0.2616,4.0984,3.6191
offline_val,5144576,628,4,15,178.2010,5.7881,1.0000,0.8167,-0.5768,0.1171,0,0,0,0,0.2139,0.1442,-0.2153,5.2549,-3.8969
offline_val,5144576,628,4,16,101.7944,4.8215,1.0000,0.5895,0.0503,0.0682,0,0,0,0,0.1983,0.1207,0.0270,5.0081,0.6196
offline_val,5144576,628,4,17,129.2473,5.4712,1.0000,0.7363,-0.2420,0.0671,0,0,0,0,0.2042,0.1411,-0.0739,5.6082,-0.9681
offline_val,5144576,628,4,18,131.1842,3.1815,0.9702,0.3778,-0.2219,0.0630,0,0,0,0,0.1978,0.0701,-0.0675,3.3412,-0.6006
offline_val,5144576,628,4,19,127.6066,5.4474,1.0000,0.7092,-0.1834,0.0521,0,0,0,0,0.2033,0.1388,-0.0567,5.6058,-0.8061
offline_val,5144576,628,4,20,172.2243,2.4611,-0.1947,0.2762,-0.6465,0.1853,0,0,0,0,-0.0735,0.0581,-0.2251,2.0777,-1.5736
offline_val,5144576,628,4,21,94.3426,6.5028,1.0000,0.7289,0.0895,0.0749,0,0,0,0,0.1975,0.1469,0.0404,6.6603,1.2691
offline_val,5144576,628,4,22,57.1603,2.0828,1.0000,-0.0303,0.7270,0.2286,0,0,0,0,0.1989,0.0154,0.2468,2.0095,1.3541
offline_val,5144576,628,4,23,118.4617,2.3162,0.4223,0.1934,-0.1876,0.0485,0,0,0,0,0.0908,0.0348,-0.0451,2.3996,-0.1816
offline_val,5144576,628,4,24,42.3039,2.7685,1.0000,0.0865,0.8292,0.2758,0,0,0,0,0.1653,0.0146,0.2835,2.4190,2.1769
offline_val,5144576,628,4,25,109.0294,2.2453,0.5718,0.1573,-0.0213,0.0195,0,0,0,0,0.1215,0.0329,-0.0047,2.3670,0.0723
offline_val,5144576,628,4,26,109.7219,3.5422,1.0000,0.3811,0.0815,0.0784,0,0,0,0,0.1991,0.0789,0.0279,3.7383,0.2382
offline_val,5144576,628,4,27,91.7355,4.1124,1.0000,0.4259,0.2545,0.1203,0,0,0,0,0.1967,0.0956,0.0839,4.2423,1.0624
offline_val,5144576,628,4,28,133.3556,3.8188,1.0000,0.4658,-0.2389,0.0672,0,0,0,0,0.2034,0.0916,-0.0889,3.9528,-0.8561
offline_val,5144576,628,4,29,109.6139,4.7529,1.0000,0.5924,-0.0176,0.0498,0,0,0,0,0.1998,0.1194,-0.0007,4.9528,0.2012
