update,step,done,success,fail,timeout,success_rate,fail_rate,timeout_rate,pi_loss,v_loss,teacher_loss,entropy,kl,std_mean,std_min,std_max,teacher_coef
1,8192,0,0,0,0,0.0,0.0,0.0,-0.01787712799850851,0.1859170338138938,0.0,2.170475074648857,0.010457010360551067,0.4977506995201111,0.49650847911834717,0.4994800090789795,0.0
2,16384,0,0,0,0,0.0,0.0,0.0,-0.01700295088230632,0.14198804730549455,0.0,2.1486154198646545,0.013049802559544332,0.4927569627761841,0.48940327763557434,0.4962610900402069,0.0
3,24576,3,0,3,0,0.0,1.0,0.0,-0.008827911707339809,0.21547918487340212,0.0,2.117078351974487,0.00773558161672554,0.48765891790390015,0.47820624709129333,0.4943844676017761,0.0
4,32768,3,0,3,0,0.0,1.0,0.0,-0.0022058644506614657,0.32302046902477743,0.0,2.099307581782341,0.006297639703552705,0.4870834946632385,0.4760860800743103,0.4964543581008911,0.0
5,40960,9,0,9,0,0.0,1.0,0.0,-0.0035655762068927286,0.4738291047513485,0.0,2.09732771217823,0.004920071764354361,0.4869310259819031,0.4755314290523529,0.4975639581680298,0.0
6,49152,113,0,4,109,0.0,0.035398230088495575,0.9646017699115044,-0.0023386397340800615,0.28905603028833865,0.0,2.088984400033951,0.0038820991867396515,0.4839429259300232,0.47098690271377563,0.4986340403556824,0.0
7,57344,1,0,1,0,0.0,1.0,0.0,-0.0048430593800731,0.08619993245229125,0.0,2.0657549679279326,0.003511779001564719,0.4801555275917053,0.46282491087913513,0.5001888871192932,0.0
8,65536,1,0,0,1,0.0,0.0,1.0,-0.0054478868725709615,0.044066957430914044,0.0,2.0387765020132065,0.0060456756124040115,0.475420206785202,0.45493170619010925,0.49236932396888733,0.0
9,73728,2,0,0,2,0.0,0.0,1.0,-0.001228916592663154,0.14761841706931592,0.0,2.0130919724702836,0.0051770818943623455,0.471944659948349,0.45082011818885803,0.4872887432575226,0.0
10,81920,4,0,0,4,0.0,0.0,1.0,-0.005873283045366407,0.0792573906481266,0.0,1.9971135959029198,0.006592836743948283,0.47073549032211304,0.4423616826534271,0.48796311020851135,0.0
11,90112,8,0,0,8,0.0,0.0,1.0,-0.0020528078079223634,0.1478498838841915,0.0,1.9883289605379104,0.0036115338254603556,0.46888646483421326,0.4391513466835022,0.48742571473121643,0.0
12,98304,112,0,0,112,0.0,0.0,1.0,-0.002857685065828264,0.2093866540119052,0.0,1.9717788130044938,0.002902467732928926,0.4657677114009857,0.433787077665329,0.4817759394645691,0.0
13,106496,1,0,0,1,0.0,0.0,1.0,-0.005258292821235955,0.023830759641714393,0.0,1.9457652047276497,0.006241672276519239,0.4613240659236908,0.42666566371917725,0.48111826181411743,0.0
14,114688,1,0,0,1,0.0,0.0,1.0,-0.003696850879350677,0.08567676730453969,0.0,1.9241114139556885,0.00798273533291649,0.45943090319633484,0.42314612865448,0.484892874956131,0.0
15,122880,3,0,0,3,0.0,0.0,1.0,-0.0020172818622086197,0.1258955962024629,0.0,1.9114571273326875,0.005939341954945121,0.457785427570343,0.41526830196380615,0.48830366134643555,0.0
16,131072,7,0,1,6,0.0,0.14285714285714285,0.8571428571428571,-0.002090652211336419,0.23516331519931555,0.0,1.8970100268721581,0.00591848700933042,0.45520877838134766,0.4125407040119171,0.48380765318870544,0.0
17,139264,7,0,0,7,0.0,0.0,1.0,-0.0025964540778659283,0.32281377278268336,0.0,1.8861242353916168,0.003914018996147206,0.45463797450065613,0.40699782967567444,0.4866017997264862,0.0
18,147456,109,0,3,106,0.0,0.027522935779816515,0.9724770642201835,-0.0037508346547838302,0.27610563337802885,0.0,1.8768159359693528,0.004113504325505346,0.45264357328414917,0.4039131700992584,0.4850143492221832,0.0
19,155648,1,0,0,1,0.0,0.0,1.0,-0.0002938981167972088,0.10458607422187924,0.0,1.8639527410268784,0.0038789560428995175,0.45074087381362915,0.40010273456573486,0.4848930537700653,0.0
20,163840,2,0,0,2,0.0,0.0,1.0,-0.0028788656112737955,0.014955962274689228,0.0,1.835097086429596,0.004601561708841473,0.4450010657310486,0.38897255063056946,0.4851176142692566,0.0
21,172032,2,0,0,2,0.0,0.0,1.0,-0.002812106188503094,0.012564297823701054,0.0,1.8010238736867905,0.005266298187052598,0.44124647974967957,0.3852803707122803,0.48408958315849304,0.0
22,180224,8,0,0,8,0.0,0.0,1.0,-0.003943635046016425,0.014147602510638535,0.0,1.77646793872118,0.006268693419406191,0.4374040961265564,0.38163453340530396,0.48031991720199585,0.0
23,188416,8,0,0,8,0.0,0.0,1.0,-0.0015960152668412775,0.017010888562072068,0.0,1.7588436737656594,0.0029486331157386305,0.43701910972595215,0.3764699697494507,0.4814281165599823,0.0
24,196608,107,0,0,107,0.0,0.0,1.0,-0.0007484579604351893,0.05211525382474065,0.0,1.749993158876896,0.003102777361345943,0.43495410680770874,0.3738934397697449,0.4805245101451874,0.0
