update,train_loss,train_x,train_dist,test_loss,test_x,test_dist,test_count
20,3.228176140785217,0.1881496824324131,3.0400264859199524,2.791893797009616,0.198409816142324,2.593483974596613,9876
40,0.995030066370964,0.20779184326529504,0.7872382201254368,0.6118505962853877,0.18181342559456584,0.4300371738110732,9876
60,0.32959545999765394,0.18081754595041274,0.1487779136747122,0.2808994873905529,0.17461867124723393,0.10628081756161505,9876
80,0.25291440412402155,0.17311972603201867,0.07979467958211899,0.26975302135669155,0.16921054193755306,0.100542478809573,9876
100,0.222030096501112,0.163939019292593,0.05809107813984156,0.19797752472904348,0.15855692506874558,0.03942059974554653,9876
120,0.19658220335841178,0.14915230497717857,0.0474298981949687,0.18853398661422266,0.14384432905909986,0.044689657129634,9876
140,0.1708421066403389,0.12474016025662422,0.046101948153227566,0.1369474526930792,0.10665596708045792,0.03029148590231579,9876
160,0.1102109644562006,0.07589996010065078,0.0343110041692853,0.09075349042137029,0.055071077045881586,0.03568241347205354,9876
180,0.08218213897198438,0.04656057106330991,0.035621568001806735,0.07381749781563052,0.042070395844687136,0.031747101949631214,9876
200,0.06798081453889608,0.03147413590922952,0.03650667862966657,0.05693612862853639,0.02634635764491394,0.030589770825761576,9876
220,0.05988189410418272,0.02137563768774271,0.03850625643972307,0.15029510695739234,0.01905680984732423,0.131238297729441,9876
240,0.04915047874674201,0.016089389752596616,0.03306108885444701,0.03145882900451216,0.01155628844376679,0.019902540627133695,9876
260,0.032297169975936416,0.011866301484405994,0.02043086807243526,0.03623578538186471,0.010016295907633442,0.02621948945706838,9876
280,0.03167958480739477,0.008227330317401504,0.02345225424222061,0.048082680933693486,0.01254080873964986,0.03554187231474967,9876
300,0.0413604689296335,0.008807627251371741,0.03255284200422466,0.06518516743253146,0.005225563330467188,0.05995960446257927,9876
320,0.03286547088064253,0.005110340809915214,0.02775513012893498,0.03232605370955822,0.0064924915323811725,0.025833562162088788,9876
340,0.019903588481247424,0.005169458198361098,0.014734130422584712,0.019976902912673004,0.00494953670639676,0.015027366260593963,9876
360,0.026532581611536443,0.007103539700619876,0.01942904234165326,0.04825056683681015,0.00408552851166377,0.04416503862403529,9876
380,0.022742794128134847,0.004851755645358935,0.01789103865157813,0.026099865010770926,0.007120294577422118,0.018979570276666705,9876
400,0.030862299771979452,0.006886343855876475,0.023975956183858217,0.020694079123129604,0.006489211037066988,0.014204867926598615,9876
420,0.020068740705028176,0.004508760903263465,0.0155599799240008,0.025060395454047132,0.004759259346654543,0.02030113619943095,9876
440,0.021423661056905983,0.004058827948756516,0.01736483285203576,0.04196953819291391,0.009026895109722493,0.032942643053014906,9876
460,0.02566792818251997,0.004518871865002438,0.02114905647467822,0.019222131539411533,0.004977133370156608,0.014244998056093007,9876
480,0.02847304898314178,0.0053624349122401325,0.023110613808967173,0.046209090383653215,0.0032555649253460904,0.04295352525834059,9876
500,0.030985457845963536,0.006851071590790525,0.02413438612129539,0.04555530530548062,0.010473489515319671,0.03508181609145455,9876
520,0.05004349139053375,0.012524209852563218,0.03751928124111146,0.04436286742606232,0.017468307795717484,0.026894559798390276,9876
540,0.032209817809052764,0.008376956317806616,0.023832861450500786,0.021774457267618712,0.0060326225170884516,0.01574183475529249,9876
560,0.028717476644596368,0.007671869046128167,0.021045607530472573,0.023869298298157822,0.0036146050571238056,0.020254693174174183,9876
580,0.025984706031158565,0.005439302924787626,0.020545403356663883,0.036591943209321694,0.004998127853576321,0.03159381535980034,9876
600,0.0352412843843922,0.008468815952073782,0.026772468420676886,0.03215574149650425,0.005544018587863255,0.02661172285526629,9876
620,0.02428765771910548,0.003994432743638754,0.02029322520829737,0.038144940794051396,0.004490225593993797,0.03365471520498486,9876
640,0.020266548986546694,0.005021264957031235,0.015245284058619291,0.027513246948209523,0.005299002737621258,0.02221424434312916,9876
660,0.02387729613110423,0.004978148062946275,0.018899147713091223,0.0433017919628412,0.0036075813784903392,0.03969421080110309,9876
680,0.024732487939763813,0.004425973576144315,0.02030651450622827,0.020395092708207652,0.0025815093316384485,0.017813583387366737,9876
700,0.022125115524977444,0.004638596664881334,0.017486518784426152,0.038415830753631995,0.0029519816957027135,0.03546384931079902,9876
720,0.022806086135096847,0.00498940366669558,0.017816682660486548,0.02422141616861496,0.007584611550101738,0.016636804534018994,9876
740,0.023655804549343885,0.004835792793892324,0.01882001196499914,0.10719226227085712,0.011670110575777827,0.09552215188500272,9876
760,0.027467275760136543,0.0065706542518455535,0.020896621560677887,0.017629654244615958,0.0040733346208415505,0.013556319572474338,9876
780,0.012571186176501215,0.0023095379379810765,0.010261648148298264,0.016212203325371797,0.0028855147518903326,0.013326688615728582,9876
800,0.014806983270682394,0.002009032361092977,0.012797951116226614,0.019047437415640453,0.003834968862516459,0.015212468545108358,9876
820,0.015248143917415292,0.002740369425737299,0.01250777451787144,0.016098234372092023,0.004531901579560714,0.011566332833387476,9876
840,0.02117338333850852,0.00834653166423088,0.012826851743880954,0.03317491381412916,0.016735755913517843,0.01643915800462598,9876
860,0.012454679980874062,0.004488691344158724,0.007965988584328444,0.012737220887633387,0.0030495293633686056,0.009687691522873833,9876
880,0.016281294263899328,0.003487764790770598,0.01279352956917137,0.03359690696537063,0.006308543052616367,0.02728836398517789,9876
900,0.028578178002499045,0.003169803286436945,0.025408374797552823,0.016307775629778632,0.004140532632883066,0.012167242995150984,9876
920,0.01428336788667366,0.002506577130407095,0.011776790872681886,0.01776790916606627,0.005350602597772243,0.012417306584891109,9876
940,0.014748998999129981,0.0030553999997209756,0.01169359908089973,0.017607072258968647,0.003416216375291915,0.014190855794278819,9876
960,0.012186260404996574,0.001880434385384433,0.01030582597013563,0.017529957128463124,0.003054374670460835,0.014475582404674735,9876
980,0.017793538491241635,0.002417772272019647,0.015375766379293054,0.01485367479902734,0.0027276405300739465,0.012126034148365225,9876
1000,0.021989817335270345,0.004034184489864856,0.01795563257765025,0.02460051021124125,0.0041239597447444345,0.020476550305523988,9876
